snapshot_at,event_id,lobby_id,match_id,match_name,kickoff,match_status,market_id,market_status,question,outcome,crowd_probability
2026-06-29T04:52:32+00:00,aa5572ec-5930-4d99-b06b-f8966333d172,8df8038c-fd2c-4a5f-be4e-0e11d5966c05,cb422ad6-6642-4e47-bc13-079bea1d8546,MEX vs RSA,2026-06-11T19:00:00.000Z,settled,36be0b1d-af63-4908-ba5c-8ecddf1e3c7f,settled,"In the second half, will Mexico have more corner kicks than South Africa?",1,65.45318352059925
2026-06-29T04:52:32+00:00,aa5572ec-5930-4d99-b06b-f8966333d172,8df8038c-fd2c-4a5f-be4e-0e11d5966c05,cb422ad6-6642-4e47-bc13-079bea1d8546,MEX vs RSA,2026-06-11T19:00:00.000Z,settled,3d0271d3-50e7-4b58-8eec-08a35af7c559,settled,Will South Africa score in the second half?,0,37.986881937436934
2026-06-29T04:52:32+00:00,aa5572ec-5930-4d99-b06b-f8966333d172,8df8038c-fd2c-4a5f-be4e-0e11d5966c05,cb422ad6-6642-4e47-bc13-079bea1d8546,MEX vs RSA,2026-06-11T19:00:00.000Z,settled,7a4ef1de-397d-4e45-9abe-abd62b8f476d,settled,Will Oswin Appollis score or assist a goal (excluding own goals)?,0,30.40733197556008
2026-06-29T04:52:32+00:00,aa5572ec-5930-4d99-b06b-f8966333d172,8df8038c-fd2c-4a5f-be4e-0e11d5966c05,cb422ad6-6642-4e47-bc13-079bea1d8546,MEX vs RSA,2026-06-11T19:00:00.000Z,settled,85e71c9f-3b43-4f67-b034-61ef88c8f546,settled,Will South Africa be caught offside 2 or more times?,0,50.97808764940239
2026-06-29T04:52:32+00:00,aa5572ec-5930-4d99-b06b-f8966333d172,8df8038c-fd2c-4a5f-be4e-0e11d5966c05,cb422ad6-6642-4e47-bc13-079bea1d8546,MEX vs RSA,2026-06-11T19:00:00.000Z,settled,912738d1-fab4-4d77-a6c9-8038caf2de6d,settled,Will Mexico win the match?,1,72.74127906976744
2026-06-29T04:52:32+00:00,aa5572ec-5930-4d99-b06b-f8966333d172,8df8038c-fd2c-4a5f-be4e-0e11d5966c05,cb422ad6-6642-4e47-bc13-079bea1d8546,MEX vs RSA,2026-06-11T19:00:00.000Z,settled,9b156a62-6264-4f0e-bc6a-2e42eea52c25,settled,Will South Africa receive more cards than Mexico?,1,54.18725099601593
2026-06-29T04:52:32+00:00,aa5572ec-5930-4d99-b06b-f8966333d172,8df8038c-fd2c-4a5f-be4e-0e11d5966c05,cb422ad6-6642-4e47-bc13-079bea1d8546,MEX vs RSA,2026-06-11T19:00:00.000Z,settled,b2c6c49e-b939-4292-a260-edd90702880e,settled,Will Mexico have more shots on target than South Africa in the second half?,1,68.51353965183752
2026-06-29T04:52:32+00:00,aa5572ec-5930-4d99-b06b-f8966333d172,8df8038c-fd2c-4a5f-be4e-0e11d5966c05,cb422ad6-6642-4e47-bc13-079bea1d8546,MEX vs RSA,2026-06-11T19:00:00.000Z,settled,d432c4f3-a677-40e4-8fbe-e64f03aa4ecb,settled,Will the match have 2 or fewer total goals?,1,51.50445986124876
2026-06-29T04:52:32+00:00,aa5572ec-5930-4d99-b06b-f8966333d172,8df8038c-fd2c-4a5f-be4e-0e11d5966c05,cb422ad6-6642-4e47-bc13-079bea1d8546,MEX vs RSA,2026-06-11T19:00:00.000Z,settled,f2338597-8723-4b91-9842-cb6b6cd1d386,settled,Will a penalty kick be awarded OR a red card be shown in the match?,1,42.06893203883495
2026-06-29T04:52:32+00:00,aa5572ec-5930-4d99-b06b-f8966333d172,8df8038c-fd2c-4a5f-be4e-0e11d5966c05,cb422ad6-6642-4e47-bc13-079bea1d8546,MEX vs RSA,2026-06-11T19:00:00.000Z,settled,f61ed5b3-c3c6-4a94-ace0-30a66ff8f8e1,settled,Will South Africa commit more fouls than Mexico?,0,57.44961240310077
